state,name,pop2019,age_over_65_2019,households_speak_spanish_2019,hs_grad_2019,bachelors_2019,household_has_computer_2019,poverty_2019,uninsured_2019,unemployment_rate_2019,per_capita_income_2019,median_household_income_2019
Illinois,Cook County,5198275,14.3,17.6,87.1,38.8,77.1,14.4,8.8,6.6,37552,64660
Illinois,DeKalb County,104366,12.2,7.4,92.3,32.3,82,16.6,5.3,5.5,29430,63317
Illinois,DuPage County,929060,15,9.3,93,49.4,86.4,6.4,5.3,3.8,46272,92809
Illinois,Franklin County,38923,20.1,1.2,88.9,16.7,64.4,19.5,6.3,6.2,24098,42769
Illinois,Jackson County,57977,14.8,3.4,91.9,34.1,74.1,26.5,6.4,8.3,24804,37241
Illinois,Jefferson County,37985,18.6,1.3,87.4,17.9,67.7,17,5.9,7.1,26466,49896
Illinois,Kane County,531376,13.2,22,84.6,33.1,81.9,9.4,8.3,4.5,36270,79394
Illinois,Kankakee County,110637,16.3,7.9,88.2,20.8,73.1,14.2,5.2,4.5,27984,58902
Illinois,Kendall County,126054,10.1,12.7,92.4,36.2,88,4.5,5,3.5,36382,96563
Illinois,Knox County,50508,20.8,2.9,89.1,18.9,65.1,18.2,5,4.9,24545,44129
Illinois,Lake County,701473,13.7,15.1,90.6,45.3,85.1,7.9,6.8,4.8,45766,89427
Illinois,LaSalle County,109737,18.5,5.6,88.6,17.8,72.7,13.4,4.3,5.3,30277,58142
Illinois,McDonough County,30479,17.2,1.6,93.6,32.2,75.1,21.9,4.3,7.7,24094,44471
Illinois,McHenry County,307714,14,8.5,93.1,34.4,87,7,5.2,3.6,39006,86799
Illinois,McLean County,172578,12.7,3.2,95.9,44.8,81.4,14.9,4,2.9,34532,67675
Illinois,Macon County,105528,19.4,2,90.4,22.1,70.6,17,4.5,7.3,29644,50480
Illinois,Macoupin County,45463,19.6,1.1,91.3,18.4,70.2,13.9,4.5,5.6,28809,55159
Illinois,Madison County,264776,16.8,2.4,92.5,26.8,76.8,13.2,5,5.7,32427,60738
Illinois,Marion County,37743,19.3,0.8,89,15.2,67.8,17.7,6.5,9.3,25563,47519
Illinois,Peoria County,182770,16.5,3.7,90.9,30.6,71.5,15.6,5.4,6.9,32041,55842
Illinois,Rock Island County,143873,18.8,7.5,88.6,23.5,72.7,14,5.2,5.3,29756,54858
Illinois,St. Clair County,262338,15.2,3.4,91.1,28,71.6,14.8,6.2,6.1,30807,55179
Illinois,Sangamon County,196861,17.2,2.5,92.5,34.5,76.3,14.5,3.9,5.4,35509,61912
Illinois,Stephenson County,45093,22.1,2.8,92.5,19.6,73.6,13.6,5.7,6.6,27911,48805
Illinois,Tazewell County,133195,18.3,1.7,92.7,26.3,74.3,8.3,3.8,4.2,33507,63454
Illinois,Vermilion County,77563,18.7,3.5,88.5,14.7,65.7,18.9,5.7,6.4,25307,46515
Illinois,Whiteside County,56016,20.3,5.9,90.6,18.2,73.2,10.7,4.7,3.9,29856,54232
Illinois,Will County,689315,12.6,11.5,91,34.3,84.6,6.7,5,4.3,36524,86961
Illinois,Williamson County,67102,18.6,2.2,92.3,24.3,63.4,13.9,5.3,5.2,28375,50734
Illinois,Winnebago County,284819,17,8.7,87.7,22.9,74.2,15.6,5.9,7.5,29278,54489
Indiana,Adams County,35376,15.1,3.7,84.7,15.5,66.5,16.8,19.2,2.8,23316,52504
Indiana,Allen County,372575,14.2,5.5,89.4,28.5,77.3,13.3,8.6,4.5,29160,54857
Indiana,Bartholomew County,82481,16,4.6,90.6,33.5,77.5,13.4,8.6,4,31774,63431
Indiana,Cass County,37880,17.4,12.5,85.4,13.3,67.2,14.6,9.4,4.6,24948,49415
Indiana,Clark County,116507,15.4,4.6,89.4,21.2,75.6,10.1,7.2,4.8,29062,55630
Indiana,Delaware County,115020,16.9,1.9,89.7,23.7,74.8,21.9,8.1,5.4,25107,43512
Indiana,Elkhart County,204558,14.3,11.3,80.8,19.8,71.3,12.4,14.6,3.9,26150,57021
Indiana,Floyd County,77320,15.7,2.6,90.8,29.6,76.5,9.8,4.8,3.6,33478,64468
Indiana,Grant County,66452,18.7,2.5,87.2,17.9,68,18,8.6,6.5,23046,44356
Indiana,Hamilton County,323117,11.9,3.5,96.8,59.3,91.9,4.6,4.4,2.4,49287,98173
Indiana,Hancock County,75164,15.9,2.1,92.9,30.8,82.8,6.7,6.3,1.8,34119,74072
Indiana,Hendricks County,163799,13.3,2.8,94,37,87.7,5,6.1,3.4,36569,81933
Indiana,Henry County,48255,18.6,0.7,89.3,16.4,70.5,15.1,7,4.9,24687,49832
Indiana,Howard County,82331,19.1,2.6,89.5,21.6,72.9,14.9,7.1,4.8,28129,52373
Indiana,Jackson County,44025,15.9,4.8,87.3,16.7,70.9,14.6,8.4,4.2,25840,51250
Indiana,Johnson County,153716,14.4,3.4,92.1,32.7,81.9,7.4,6.9,3.2,34408,72440
Indiana,Knox County,37065,17.5,1.5,88.7,16.9,68.9,15.5,7.7,3.5,26041,47380
Indiana,Kosciusko County,79035,16.2,5.7,85.7,23.3,75.2,9.8,10,3.1,29786,61366
Indiana,Lake County,485707,16.1,11,88.7,22.6,71.8,15.6,7.6,6.5,28923,56128
Indiana,LaPorte County,110154,17.3,3.8,88.5,18,74.1,15.2,7.7,6,27264,53658
Indiana,Lawrence County,45548,19.8,1.5,88.3,15.8,68.7,12.4,8.4,3.8,26603,53610
Indiana,Madison County,129455,17.9,2.6,88.4,18.4,70.4,16.5,8.2,5.3,25557,49522
Indiana,Marion County,951869,12.3,7,86.1,30.9,72.2,17.8,10.5,5.7,28566,48316
Indiana,Marshall County,46461,17.3,7.5,84.9,19.7,69.3,13,12.6,4.6,25761,52658
Indiana,Monroe County,146461,12.6,3.1,92.7,45.7,83.6,23.5,6.9,4.6,28514,49839
Indiana,Morgan County,69922,16.3,1.3,88.1,17.3,75,10.5,7,4.5,30721,64335
Indiana,Porter County,168636,15.9,4.5,93.6,28.4,81,9.9,5.8,4,34595,71152
Indiana,St. Joseph County,270216,15.4,5.4,88.5,29.6,74.7,15.5,8.2,4.2,28215,52769
Indiana,Tippecanoe County,191553,11.1,5.9,91.6,38.7,79.6,18.7,7.9,3.8,27451,53130
Indiana,Vanderburgh County,181291,16.4,2.1,90.1,27,72.5,16.7,7.7,4.6,29638,49708
Indiana,Vigo County,107459,16,1.9,88.4,25.1,72.5,19.1,7.4,6.3,25113,45230
Indiana,Wayne County,66342,18.8,2.4,86.5,18.2,70.2,16.4,11.9,4.8,26510,46516
Iowa,Black Hawk County,132393,16,3.2,91.4,29.1,76.4,15.8,5,3.7,30563,53539
Iowa,Clinton County,46909,19.3,1.7,90.9,17.9,71.7,13.1,3.7,4.4,28483,51688
Iowa,Des Moines County,39386,20.3,1.7,92,20.1,70.6,16.1,4.9,4.7,29941,51267
Iowa,Dubuque County,96982,17.3,2.8,92.7,30.8,76,11.4,3.8,3.2,32905,63031
Iowa,Johnson County,148577,11.3,4.2,94.9,52.8,87.4,18.1,5.6,3,35108,62542
Iowa,Linn County,223861,15.5,2.5,94.5,33.1,80.8,10.2,3.7,3.5,34545,64903
Iowa,Polk County,479612,12.8,5.4,91.5,36.7,80.1,10.4,4.9,3.7,35433,67637
Iowa,Pottawattamie County,93393,17,5.1,89.5,21.5,75.9,10.7,5.8,3.3,30318,60065
Iowa,Scott County,172446,15.8,3.4,92.8,31.8,75.8,12.1,4.5,3.4,33643,61183
Iowa,Story County,96941,11.8,3.2,97.2,51.6,88.5,20.9,4.5,3.5,29539,56756
Iowa,Wapello County,35141,17.4,6,88.1,18.8,68.2,14.9,5.8,5.6,26424,46246
Iowa,Woodbury County,102586,14.7,11.1,87.1,23.1,71.7,12.7,5.7,4.1,28688,59224
Kansas,Butler County,66698,14.8,2.5,92.5,29.8,78.7,9.5,8.1,3.4,29986,64782
Kansas,Crawford County,38968,15.2,3.1,92.1,29.9,74.7,20.3,10,4.9,23091,41004
Kansas,Douglas County,120290,11.8,4.6,95.4,49.6,86.9,18,7.1,3.7,32281,59435
Kansas,Ford County,34179,10.6,43.6,73.6,17.7,61.3,14.5,14.2,4.7,23293,51711
Kansas,Johnson County,591506,14.1,5,96,56,89.3,5.4,5.9,2.6,46517,89087
Kansas,Leavenworth County,80745,14.1,3.1,92.2,31.5,80.8,8.5,4.8,3.9,32444,73013
Kansas,Lyon County,33251,14.8,11.6,88.3,27.5,77,16.9,8.7,4.4,26904,46338
Kansas,Montgomery County,32521,19.2,3.7,88.8,19.5,66.6,18.7,11.9,5,24647,45157
Kansas,Reno County,62765,19.3,4.1,88.5,20.9,74.4,12.9,9.4,4.2,27073,49936
Kansas,Riley County,75056,8.9,5.7,95.8,45.6,88.1,22.4,5.9,4.8,27272,51208
Kansas,Saline County,54701,17.2,5.9,91.5,27.3,72.7,11.5,8.7,3,28813,52200
Kansas,Sedgwick County,513375,14,9.1,89.6,30.9,75.6,13.7,10.7,4.6,29530,56524
Kansas,Shawnee County,177852,17.6,6,92.2,30.9,74.6,11.4,6.8,3.6,30974,56762
Kansas,Wyandotte County,164861,12,18.8,78.9,18.1,67.1,19.2,18,5.7,22335,46881
Kentucky,Barren County,43884,17.1,2.9,83,16.3,67.5,24.2,6.7,6.9,21869,41459
Kentucky,Bell County,26791,18.6,0.4,69.6,9.2,53.9,35.5,5.3,10.5,15501,26272
Kentucky,Boone County,130820,12.9,3.4,93.1,32.1,85,7.2,4.3,3.5,35991,78327
Kentucky,Boyd County,47682,18.9,1.2,88.2,19.4,68.8,18.9,6,7.8,26193,48308
Kentucky,Bullitt County,80171,15.3,1.6,88.5,14.7,76,9,3.8,3.5,29333,63348
Kentucky,Calloway County,38837,16.8,2.2,89.5,28.5,76.5,21.5,5.4,3.7,23219,42273
Kentucky,Campbell County,92861,15.2,2.2,90.8,36.3,77.7,13.5,3.7,3.6,34025,63050
Kentucky,Carter County,27159,18.3,1,79.2,12.6,58.1,25.3,8,5.8,18778,34736
Kentucky,Christian County,71414,12.1,6,85.6,18.1,68.8,19.6,8.7,6,23021,43919
Kentucky,Clark County,35971,17.5,2.6,86.2,20.1,72.2,14.7,4.4,4.8,28802,54953
Kentucky,Clay County,20368,14.8,1.3,64.7,9.8,57,36.6,7.1,8.2,15391,26840
Kentucky,Daviess County,100474,16.7,2.6,90,22.9,71,16.6,4.8,4.3,28806,51673
Kentucky,Fayette County,320601,13,5.9,91.2,43.6,80.7,16.8,6.8,4.5,34442,57291
Kentucky,Floyd County,36456,17.5,0.4,75.2,11.3,66.5,30.7,4.8,11.2,19471,32730
Kentucky,Franklin County,50529,17,3,89,29.9,72.6,12.4,8.4,3.6,30711,56274
Kentucky,Graves County,37248,18.2,4,87.4,17.4,67.6,19.6,5.7,4.6,24750,44043
Kentucky,Grayson County,26247,17.2,1.3,81.5,10.5,63,25.4,5,4.3,21231,38612
Kentucky,Greenup County,35555,20.3,0.7,89,17.1,71.6,16.9,4.9,5.6,27722,51655
Kentucky,Hardin County,108527,13.7,3.7,90.5,22,74.3,13.2,4.6,5.1,28606,54367
Kentucky,Harlan County,26699,17.9,1.6,72.8,10.8,58.5,36,5.8,10.2,16468,26478
Kentucky,Henderson County,45829,17.2,1.6,86.9,18.2,66.6,18.5,4.7,4.7,26212,48926
Kentucky,Hopkins County,45331,18,1.1,86.7,16.5,65.1,19.4,6.7,5.2,25042,47170
Kentucky,Jefferson County,767419,15.7,4.1,90.6,33.4,74.2,14.2,5.2,5.2,33251,56586
Kentucky,Jessamine County,53032,14.7,3.2,87.3,29.5,74.8,16.9,5.8,5.4,31146,58245
Kentucky,Kenton County,165668,14,2.4,89.9,31.7,79,11.5,5.6,3.9,33330,64339
Kentucky,Knox County,31365,17.1,0.3,73.5,14.2,56.1,33.2,5.2,6.2,17832,30181
Kentucky,Laurel County,60357,16.1,1.1,81.1,14.4,67.1,23.2,6.5,5.8,22398,41526
Kentucky,Letcher County,22295,18.5,1.4,75.7,12.1,64.8,33.6,4.8,12.6,20641,29886
Kentucky,McCracken County,65268,19.4,1.5,90.5,24.2,74.2,15.8,6.1,3.8,32357,46080
Kentucky,McCreary County,17465,15.3,0.7,76.6,7.2,54.4,33.4,4.6,9.7,14505,28105
Kentucky,Madison County,90802,13.4,2.5,87.5,30.8,75.6,18.9,5,4.9,25837,50060
Kentucky,Perry County,26624,16.3,2.4,76.9,14.4,63,26.1,5.2,11,23135,33640
Kentucky,Pike County,59497,18.1,0.3,77,13,66.4,24.9,6.1,8.7,22437,34856
Kentucky,Pulaski County,64350,18.7,2,82.8,16.5,65.9,22.7,6,7.3,24646,39998
Kentucky,Rowan County,24507,13.6,2.6,84.2,25.1,71.1,27.9,5.3,4.3,20488,38230
Kentucky,Scott County,54667,11.9,3.5,91,28.4,75.3,11.6,5.9,2.9,32796,70817
Kentucky,Warren County,128652,12.7,4.2,88.1,32.2,76.4,16.8,5.5,4,28558,52270
Kentucky,Whitley County,36131,15.8,1.1,81.4,20.4,59.2,23.6,5.6,6,20547,39005
Louisiana,Acadia Parish,62457,14.9,1.6,79,13.3,62,24.2,10.6,7.3,23122,43396
Louisiana,Ascension Parish,123114,11.4,4.8,88.6,26.4,77.7,10.6,6.7,5.3,34168,80527
Louisiana,Avoyelles Parish,40669,16.7,0.9,76.8,12.3,57.2,24.4,8.3,5.8,22017,38565
Louisiana,Beauregard Parish,37043,15.4,3.9,85.3,17.8,67.4,15.5,10.2,7.5,26331,53209
Louisiana,Bossier Parish,126499,13.8,4.2,89.7,25.2,73.3,17.2,8.5,4.7,28766,54268
Louisiana,Caddo Parish,245831,16.5,2.5,87,23.5,63.6,23.3,9.3,6.5,26545,41797
Louisiana,Calcasieu Parish,201619,14.6,3.2,86.8,22.3,69,17.3,9.2,4.9,28778,51148
Louisiana,East Baton Rouge Parish,443763,13.7,3.8,90.5,34.9,74.1,18,8.5,5.8,32431,54948
Louisiana,Evangeline Parish,33589,15.1,0.5,75.7,11.6,51.5,28.7,11.6,11.7,18770,31965
Louisiana,Franklin Parish,20238,17.7,0.3,75,12,49.3,29,10.1,8.8,19206,35282
Louisiana,Iberia Parish,71887,14.5,3.9,79.9,13.6,61,22.1,11.1,8.2,23290,46861
Louisiana,Jefferson Parish,434850,16.6,11.2,85.7,26.8,71.3,15.5,11.4,5.2,30374,54032
Louisiana,Jefferson Davis Parish,31441,16.1,1.5,81.3,16.9,57.9,19.1,8.1,7.3,25474,42105
Louisiana,Lafayette Parish,241973,12.7,3.3,88.6,33,76.6,17.3,9.2,4.8,31892,56999
Louisiana,Lafourche Parish,98108,15,3.6,78.2,16.9,67.2,15.6,9,5.8,28683,55506
Louisiana,Lincoln Parish,47246,13.4,2.2,88.5,35.6,69.3,30.3,8.6,4.5,22863,35467
Louisiana,Livingston Parish,138928,12.9,2.9,85.2,19.7,73.5,12.4,8.6,3.9,29354,63389
Louisiana,Morehouse Parish,25610,18.2,0.9,79.5,13,51.7,28.3,9.2,5,18494,32929
Louisiana,Natchitoches Parish,38769,16.1,1,88.4,19,57.9,32.3,11.1,12.1,19198,28567
Louisiana,Orleans Parish,390845,14.1,5.1,86.5,37.6,66.5,23.7,9.2,7.8,31385,41604
Louisiana,Ouachita Parish,155494,14.5,1.8,86.5,24.2,64,24.7,9.6,5.9,24361,41121
Louisiana,Rapides Parish,130970,15.9,3.4,85.5,20.9,68.1,19.6,9.9,6,25984,47269
Louisiana,Richland Parish,20350,17.2,1.3,78.3,13.2,47.4,30.5,13.2,4.7,20107,34029
Louisiana,St. Bernard Parish,46266,11.1,6.2,80.2,11.6,67.2,21.1,11.2,9,20763,44661
Louisiana,St. Charles Parish,52773,13,4.9,90,25.3,76.7,11.2,7.2,5.3,32935,69019
Louisiana,St. John the Baptist Parish,43242,13.7,5.9,86.1,15.9,71,17.4,10.5,6.2,25968,57429
Louisiana,St. Landry Parish,83172,15.8,1.2,76.7,14.8,54.6,26.2,10,5.8,21162,36403
Louisiana,St. Martin Parish,53732,14.7,2,81.9,14.5,62.7,18.9,11.1,6.9,24997,48656
Louisiana,St. Mary Parish,50968,16.1,5.3,82.8,10.2,58.8,19.7,8,7.8,22839,40485
Louisiana,St. Tammany Parish,255155,16.4,5.2,90.5,33.8,81.5,11.5,7.9,5,34658,68905
Louisiana,Tangipahoa Parish,132057,14,3.4,83.6,20,66.2,21.4,9.6,6.9,25163,47832
Louisiana,Terrebonne Parish,112054,13.9,4.3,79,15.6,67,20.6,11.1,6.3,25924,48747
Louisiana,Vermilion Parish,59865,15,2.7,77.9,14.2,65.6,17.6,9.2,7.3,25342,51945
Louisiana,Vernon Parish,49646,11.7,6,86.8,17.5,71.2,17.3,8.9,8.5,24554,49141
Louisiana,Washington Parish,46435,17.5,2,79.5,11.6,51.2,24.4,11.8,9.7,20177,37570
Louisiana,Webster Parish,39242,19.3,1.3,83.9,15.4,46.9,29.8,9.4,4.9,18962,28951
Maine,Androscoggin County,107602,17.3,1.4,90.2,22.8,78.3,11.8,8,3.2,28956,53509
Maine,Aroostook County,67809,23.4,0.7,88.6,19.2,70.5,16.1,8.4,4.7,25477,41123
Maine,Cumberland County,292307,17.8,1.6,95.1,47.6,84.9,9,5.8,2.8,40527,73072
Maine,Hancock County,54601,24,1.2,94.1,34.1,79.7,10.8,10.2,3.9,34361,57178
Maine,Kennebec County,121753,19.4,1.1,92.5,28.1,78.6,12.8,7.4,3.9,30685,55365
Maine,Oxford County,57550,21.2,0.8,91.9,19.2,77.3,15.1,8.8,5.1,25464,49204
Maine,Penobscot County,151774,18,1.2,92,27.7,77.9,14.8,8.8,4.1,28523,50808
Maine,Somerset County,50520,20.7,1.1,88.4,16.5,74,20.4,9.4,6.1,24386,44256
Maine,Washington County,31491,23.8,1.5,89.3,22,72,18.9,12.1,6.6,25157,41347
Maine,York County,204316,19.9,1.5,93.2,32.5,82.2,7.4,6.7,3.1,36093,67830
Maryland,Allegany County,71445,19.8,2.2,90.2,18.9,68.3,16.5,4.8,6.3,23607,45893
Maryland,Anne Arundel County,571275,14.4,5.8,92.4,41.7,87.7,5.8,4.4,3.9,46629,100798
Maryland,Baltimore County,828018,16.8,4.2,91.5,39.4,82.8,9,5.2,4.5,40105,76866
Maryland,Carroll County,167699,16.4,2.6,92.7,36.4,83.8,5.2,2.9,3.1,42083,96769
Maryland,Cecil County,102552,15.2,3.1,89.5,23.9,80.6,9.8,4.1,4.7,34810,76887
Maryland,Charles County,159428,12.2,4.8,93.2,28.9,85,6.3,3.8,3.1,41717,100003
Maryland,Frederick County,251422,14.1,7,92.5,41.4,85.2,6.8,4.5,3.8,43582,97730
Maryland,Harford County,252222,15.8,4.1,92.7,36.7,86.5,7.2,3.4,3.6,41147,89147
Maryland,Howard County,318855,13.4,5.3,95.5,62.6,91.7,5,3.9,3.3,54628,121160
Maryland,Montgomery County,1043530,15,14.5,91,58.9,90.5,6.8,7.1,4.2,54510,108820
Maryland,Prince George's County,908670,12.9,12.7,86.7,33.1,81.9,8.5,10.1,5.5,37191,84920
Maryland,St. Mary's County,112290,12.5,3.8,89.8,31.9,83.5,8.1,5.1,2.9,40354,89845
Maryland,Washington County,150109,16.8,3.9,87.2,21.9,72.7,12.2,5.7,5.2,30464,60860
Maryland,Wicomico County,102539,15.5,4.8,87.2,27.2,75.8,15.4,6.6,7.1,28080,56956
Maryland,Baltimore city,609032,13.6,3.9,85.2,31.9,68,21.2,6.6,7.9,31271,50379
Massachusetts,Barnstable County,213496,29.8,2.2,95.5,43.4,85.4,6.4,3.3,3.9,44505,74336
Massachusetts,Berkshire County,126425,22.6,3.7,91.3,33.6,78.6,10.9,3,4.6,35616,59230
Massachusetts,Bristol County,561037,16.6,5.9,85.7,28.7,75.7,11.3,2.8,5,35747,69095
Massachusetts,Essex County,783676,16.7,16.2,89.3,39.9,80.1,10.4,3,4.5,42347,79263
Massachusetts,Franklin County,70577,21.1,3,93.3,37.3,79,9.7,2.1,4.7,35908,60950
Massachusetts,Hampden County,467871,16.5,19.3,85.8,27.1,71.3,16.4,3.1,5.2,30346,55429
Massachusetts,Hampshire County,161032,16.6,3.7,94.7,48.3,86.5,12.2,2.2,4.7,34838,70876
Massachusetts,Middlesex County,1600842,15,6.4,93.4,56.3,87.1,7.4,2.5,3.5,52228,102603
Massachusetts,Norfolk County,700437,16.6,3.7,93.9,53.6,87.3,6.3,1.8,4,53889,103291
Massachusetts,Plymouth County,515303,17.6,3,92.9,37.6,83.4,7.4,2.2,4.6,43412,89489
Massachusetts,Suffolk County,796605,11.8,18.8,86.3,46.1,78.8,18.2,3.8,5.8,42765,69669
Massachusetts,Worcester County,824772,15.3,8.8,90.7,36.4,80.7,10.1,2.5,4.6,37574,74679
Michigan,Allegan County,116143,16.1,4.8,90.9,22.6,74.4,10.4,4.5,2.5,29215,62965
Michigan,Bay County,104104,19.6,1.5,90.5,19.3,72.8,15.8,5.1,5.6,27469,48819
Michigan,Berrien County,154133,19.3,4.1,89.7,27.8,73.1,16.1,6.9,5.5,30864,50795
Michigan,Branch County,43513,18.2,3.2,89.1,14.4,70.3,15.8,10.4,3.9,25279,51947
Michigan,Calhoun County,134212,17.3,3.2,91,21,69.6,16.4,5.5,6,26855,48607
Michigan,Cass County,51523,20.3,2.8,87.7,19.2,73.2,12.1,6.2,5.9,31295,55107
Michigan,Chippewa County,37629,17.7,1,90,21.2,75,18.4,6.5,8.2,25086,46486
Michigan,Clare County,30651,23.2,0.9,84.5,12.6,65,22.7,11.3,9.8,22573,39565
Michigan,Clinton County,78389,16.5,2.2,94.5,32.1,81.2,8.8,4.2,3.2,34761,70390
Michigan,Eaton County,109456,17.9,4.2,94.3,27.8,79,10.1,4.9,4.2,33427,64348
Michigan,Genesee County,407875,17,1.7,90.6,21.2,70.9,18.9,5.5,8.8,27295,48588
Michigan,Grand Traverse County,92181,19.2,2.2,95.2,36,82.4,9.6,6.5,3.9,35405,63575
Michigan,Gratiot County,40916,17.2,2.9,91.1,15.4,69.8,16.7,4.5,5,23616,47848
Michigan,Hillsdale County,45757,19.1,1.4,88.2,17.3,68.2,16.2,6.6,4.4,25621,49622
Michigan,Houghton County,36070,17,1.8,92.8,32.6,75.5,20.2,7,5.1,23421,43183
Michigan,Ingham County,290587,13.1,4.2,92.9,38.9,80.2,19.6,5.6,5.9,29380,52872
Michigan,Ionia County,64300,14.5,2.3,90.5,16.4,70.9,11.8,6,4.2,24864,57043
Michigan,Isabella County,70688,12.2,2.2,91.5,29.1,78.1,26,8.4,6,23888,45116
Michigan,Jackson County,158636,17.2,1.5,90.8,22.2,73.5,13.8,5.8,5,28364,53658
Michigan,Kalamazoo County,262745,14.6,3.5,93.6,38.8,80.6,14.9,5.4,5,31975,56511
Michigan,Kent County,648121,13.3,6.8,90.7,35.7,80.5,11.7,5.8,3.9,32524,63053
Michigan,Lapeer County,88038,17.6,2.8,90.9,18.3,77.8,10.1,7.2,5.4,30344,62641
Michigan,Lenawee County,98381,18.3,4.3,90.9,21,74.6,11.4,5.7,4.1,27850,55450
Michigan,Livingston County,189754,16.5,1.6,95.2,35.4,85.4,5.2,3.6,3.4,40351,84221
Michigan,Macomb County,870325,16.6,1.7,89.9,24.9,78.5,10.6,5.2,4.9,32238,62855
Michigan,Marquette County,66686,18.4,1,95,32.9,79.8,15.6,4.1,5.2,27979,53970
Michigan,Mecosta County,43251,18.1,1.8,90.2,22.7,73.5,21.2,6.6,6.2,23431,45018
Michigan,Midland County,83355,18,1.3,94.2,35.2,78.5,10.4,4.3,4.8,36142,62625
Michigan,Monroe County,149727,17.5,1.7,91.4,20.5,76.9,11.1,4.2,4.3,31481,62203
Michigan,Montcalm County,63413,17.1,2.1,88.7,13.3,66,14.4,7.6,3.3,24200,49448
Michigan,Muskegon County,173297,16.5,2.3,91.3,19.7,71.1,15.5,4.9,5.9,25435,50854
Michigan,Newaygo County,48366,18.8,3.9,88.1,16.6,69.8,16.6,6.3,4.5,25451,50326
Michigan,Oakland County,1253185,16.4,3.1,94.1,47.2,84.9,8.2,4.4,4,44629,79698
Michigan,Ottawa County,286558,14.6,7,93,34.1,82.8,8.5,3.8,3,31872,69314
Michigan,Saginaw County,191821,18.7,2.9,89.4,20.8,69.4,18,4.5,6.1,28030,48000
Michigan,St. Clair County,159247,18.2,1.5,90.8,18.6,74.4,12.7,4.9,5.5,30703,56951
Michigan,St. Joseph County,60836,17.4,5.1,87,16.2,68.1,14.8,8.3,3.7,26248,52086
Michigan,Sanilac County,41295,21,2.6,88.4,14.2,68,15.1,8.9,5.7,25871,47672
Michigan,Shiawassee County,68340,17.8,1.1,92.2,17,72.8,10.3,4.8,4.2,28437,56032
Michigan,Tuscola County,52939,19.8,1.2,89.3,13.5,71.2,14.2,5.2,4.9,25996,49988
Michigan,Van Buren County,75358,17.6,7.4,87.1,21.7,72.6,14.9,8.1,5,28049,54485
Michigan,Washtenaw County,367000,13.4,3.6,95.3,55.9,87.2,14,3.5,3.7,41399,72586
Michigan,Wayne County,1757299,15.1,4.1,86.5,23.9,69.2,22.3,6.3,8.7,27282,47301
Minnesota,Anoka County,350253,13.5,3.1,94,30.5,84.7,5.9,3.9,3.1,36978,82175
Minnesota,Beltrami County,46403,15.6,1.3,92.1,29.2,75.8,18.9,8.8,7.4,25418,49160
Minnesota,Blue Earth County,66795,13.4,2.4,94.5,34.8,84.2,17.6,3.8,3.1,29677,57429
Minnesota,Clay County,63446,12.9,2.8,94.9,34.2,81.1,12.3,4.1,2.2,30768,65269
Minnesota,Crow Wing County,64217,22,0.9,94.1,24.7,77.8,10.8,4.6,2.8,32368,56549
Minnesota,Dakota County,421453,13.6,4.8,95.1,42.2,86.9,6,3.5,3.2,41552,86036
Minnesota,Hennepin County,1245837,13.7,5,93.3,50.1,85.7,10.4,4.9,3.6,45768,78167
Minnesota,Itasca County,45141,22.6,1.3,94,23.1,72.9,12.2,5.3,4.9,30286,55139
Minnesota,Kandiyohi County,42841,18.3,8.3,89,23.3,74.9,10.5,6.6,3.4,31039,60294
Minnesota,Mower County,39807,18.4,7.9,87.6,22.2,71.9,13.5,6.5,2.7,29720,54295
Minnesota,Olmsted County,154809,15.1,3.2,94.6,44.9,85.3,8.4,3.9,2.6,41066,76951
Minnesota,Otter Tail County,58195,23.3,2.2,92.1,24.9,72.7,9.3,4.8,2.6,32059,58682
Minnesota,Ramsey County,544442,14.1,4.9,90.3,42.3,81.3,14,5.3,4,35013,64660
Minnesota,Rice County,66185,15.1,6.1,91.1,28.3,77.4,9.2,4.8,3.4,31221,68584
Minnesota,St. Louis County,199759,18.8,1.3,94.5,29.3,74.6,14.1,3.5,4,31537,55646
Minnesota,Scott County,145275,10.4,4.6,94.7,39.9,89.1,5.5,3.7,2.8,42155,102152
Minnesota,Sherburne County,94463,10.9,2.5,94.6,26.6,85.1,6.4,2.7,2.5,35439,89250
Minnesota,Stearns County,158452,14.6,2.9,91.7,27.5,78.8,12.9,3.6,3.9,30994,62789
Minnesota,Washington County,255938,14.4,3.2,96.1,44.3,87.6,4.3,3,2,45822,96671
Minnesota,Winona County,50725,16.4,2,93.5,30.1,81,12.9,5.8,3.1,30013,59329
Minnesota,Wright County,134438,12.2,2.5,94.9,29.6,83.1,4.6,3.4,2.6,36260,84974
Mississippi,Adams County,31266,18.3,2.2,77.9,17.4,60.9,31.5,15.1,10.4,18386,29936
Mississippi,Alcorn County,37090,18.2,3.3,81.3,17.1,60.8,15,13.7,6.1,23909,42086
Mississippi,Bolivar County,31848,15,2.6,77.8,23.6,55.8,35,14.3,8.3,18843,29854
Mississippi,Coahoma County,23255,14.6,0.4,79.5,16.5,52.7,34.8,13,14.6,18985,29121
Mississippi,Copiah County,28501,16.8,2.1,80.2,14.5,52.7,24,13.3,7.5,20093,42151
Mississippi,DeSoto County,178975,12.6,3.9,90.4,25,77.5,9.2,8,4.8,30195,67038
